Results summary:

Program contral parameterFlag=3 ; cosmoFlag=3     Calculated on: 29-Jun-2020

No	Cation	Anion	Solute	T	Vexp	iVcal	
100	BMIM	PF6	Pyr	  323.15	0.8100	0.9447	
101	BMIM	PF6	Pyr	  333.15	0.7400	0.9339	
102	BMIM	PF6	C6ene	  313.15	6.0000	2.6814	
103	BMIM	PF6	C6ene	  323.15	5.5200	2.5563	
104	BMIM	PF6	C6ene	  333.15	6.1100	2.4428	
105	BMIM	PF6	Thiofen	  313.15	1.3700	1.2768	
106	BMIM	PF6	Thiofen	  323.15	1.4700	1.2510	
107	BMIM	PF6	Thiofen	  333.15	1.6000	1.2265	
108	BMIM	PF6	CyC6	  313.15	23.3000	9.3166	
109	BMIM	PF6	CyC6	  323.15	21.6000	8.3914	
110	BMIM	PF6	CyC6	  333.15	19.9800	7.6014	
111	BMIM	PF6	C6ene	  313.15	19.0200	2.6814	
112	BMIM	PF6	C6ene	  323.15	17.5500	2.5563	
113	BMIM	PF6	DCM	  313.15	0.7900	0.7707	
114	BMIM	PF6	DCM	  323.15	0.9000	0.7686	
115	BMIM	PF6	DCM	  333.15	1.0400	0.7661	
116	BMIM	PF6	PeCO	  313.15	1.3900	1.5856	
117	BMIM	PF6	PeCO	  323.15	1.7100	1.5398	
118	BMIM	PF6	PeCO	  333.15	1.8700	1.4975	
119	BMIM	PF6	Dioxan	  313.15	0.9700	0.7631	
120	BMIM	PF6	Dioxan	  323.15	1.0100	0.7625	
121	BMIM	PF6	Dioxan	  333.15	1.1400	0.7618	
122	BMIM	PF6	iC5O	  315.90	7.7100	1.7747	
123	BMIM	PF6	iC5O	  325.30	6.3400	1.7038	
124	BMIM	PF6	iC5O	  334.80	5.2000	1.6394	
125	BMIM	PF6	C53O	  315.90	4.7000	2.0220	
126	BMIM	PF6	C53O	  325.30	4.1400	1.9364	
127	BMIM	PF6	C53O	  334.80	3.7800	1.8584	
128	BMIM	PF6	C5O	  315.90	9.7000	1.9081	
129	BMIM	PF6	C5O	  325.30	8.0100	1.8261	
130	BMIM	PF6	C5O	  334.80	6.4700	1.7519	
131	BMIM	PF6	C52O	  315.90	5.6600	2.0159	
132	BMIM	PF6	C52O	  325.30	4.9900	1.9300	
133	BMIM	PF6	C52O	  334.80	4.3800	1.8518	
134	BMIM	PF6	NO2Pr	  313.15	1.0500	0.9681	
135	BMIM	PF6	NO2Pr	  323.15	1.1300	0.9577	
136	BMIM	PF6	NO2Pr	  333.15	1.2300	0.9478	
137	BMIM	PF6	Meben	  313.15	2.9700	2.4932	
138	BMIM	PF6	Meben	  323.15	3.0900	2.3880	
139	BMIM	PF6	Meben	  333.15	3.3700	2.2917	
140	BMIM	PF6	Meben	  315.90	1.7100	2.4633	
141	BMIM	PF6	Meben	  325.30	1.5900	2.3666	
142	BMIM	PF6	Meben	  334.80	1.7100	2.2766	
143	BMIM	PF6	C7ene	  313.15	8.6200	4.1858	
144	BMIM	PF6	C7ene	  323.15	9.4900	3.9311	
145	BMIM	PF6	C7ene	  333.15	9.4100	3.7033	
146	BMIM	PF6	24C5DCO	  315.90	1.1500	0.8150	
147	BMIM	PF6	24C5DCO	  325.30	1.0700	0.8157	
148	BMIM	PF6	24C5DCO	  334.80	1.0300	0.8161	
149	BMIM	PF6	BEO	  334.80	1.9400	2.6468	
150	BMIM	PF6	BEO	  344.30	2.1900	2.5326	
151	BMIM	PF6	BEO	  353.90	2.2000	2.4276	
152	BMIM	PF6	BEO	  363.40	2.1400	2.3327	
153	BMIM	PF6	N222	  313.15	20.2100	9.0922	
154	BMIM	PF6	N222	  323.15	19.3500	8.2430	
155	BMIM	PF6	N222	  333.15	13.9600	7.5125	
156	BMIM	PF6	Oxylene	  313.15	3.9100	3.6402	
157	BMIM	PF6	Oxylene	  323.15	4.2000	3.4439	
158	BMIM	PF6	Oxylene	  333.15	4.5800	3.2666	
159	BMIM	PF6	Oxylene	  315.90	2.3700	3.5842	
160	BMIM	PF6	Oxylene	  325.30	2.2100	3.4042	
161	BMIM	PF6	Oxylene	  334.80	2.2000	3.2391	
162	BMIM	PF6	Mxylene	  313.15	4.8000	4.0039	
163	BMIM	PF6	Mxylene	  323.15	5.1700	3.7720	
164	BMIM	PF6	Mxylene	  333.15	5.5100	3.5637	
165	BMIM	PF6	Mxylene	  315.90	2.3800	3.9376	
166	BMIM	PF6	Mxylene	  325.30	2.4300	3.7253	
167	BMIM	PF6	Mxylene	  334.80	2.3600	3.5314	
168	BMIM	PF6	Pxylene	  313.15	4.5100	4.0222	
169	BMIM	PF6	Pxylene	  323.15	4.9600	3.7888	
170	BMIM	PF6	Pxylene	  333.15	5.2100	3.5792	
171	BMIM	PF6	Pxylene	  315.90	2.2700	3.9555	
172	BMIM	PF6	Pxylene	  325.30	2.2400	3.7419	
173	BMIM	PF6	Pxylene	  334.80	2.2800	3.5467	
174	BMIM	PF6	Etben	  313.15	4.8100	3.9260	
175	BMIM	PF6	Etben	  323.15	5.2600	3.7035	
176	BMIM	PF6	Etben	  333.15	5.7000	3.5032	
177	BMIM	PF6	TRCM	  313.15	1.3000	1.5577	
178	BMIM	PF6	TRCM	  323.15	1.4600	1.5181	
179	BMIM	PF6	TRCM	  333.15	1.6300	1.4801	
180	BMIM	PF6	CCl4	  313.15	5.5100	6.3961	
181	BMIM	PF6	CCl4	  323.15	5.4300	5.8702	
182	BMIM	PF6	CCl4	  333.15	5.8100	5.4111	
