Results summary:

Program contral parameterFlag=3 ; cosmoFlag=3     Calculated on: 29-May-2020

No	Cation	Anion	Solute	T	Vexp	iVcal	
1	BMIM	PF6	MeO	  293.15	2.5900	0.4279	
2	BMIM	PF6	MeO	  313.15	2.0600	0.4236	
3	BMIM	PF6	MeO	  333.15	1.6700	0.4202	
4	BMIM	PF6	MeO	  353.15	1.3600	0.4177	
5	BMIM	PF6	MeO	  313.15	1.9300	0.4236	
6	BMIM	PF6	MeO	  323.15	1.9800	0.4218	
7	BMIM	PF6	MeO	  333.15	2.0300	0.4202	
8	BMIM	PF6	MeO	  315.90	2.1600	0.4230	
9	BMIM	PF6	MeO	  325.30	1.9500	0.4214	
10	BMIM	PF6	MeO	  334.80	1.8100	0.4200	
11	BMIM	PF6	CCN	  313.15	0.5100	0.4579	
12	BMIM	PF6	CCN	  323.15	0.5500	0.4605	
13	BMIM	PF6	CCN	  333.15	0.6000	0.4630	
14	BMIM	PF6	EtO	  293.15	3.8100	0.6236	
15	BMIM	PF6	EtO	  313.15	2.9400	0.6067	
16	BMIM	PF6	EtO	  333.15	2.3200	0.5931	
17	BMIM	PF6	EtO	  353.15	1.8500	0.5821	
18	BMIM	PF6	EtO	  313.15	2.8700	0.6067	
19	BMIM	PF6	EtO	  323.15	2.8200	0.5996	
20	BMIM	PF6	EtO	  333.15	2.8400	0.5931	
21	BMIM	PF6	EtO	  315.90	3.0200	0.6047	
22	BMIM	PF6	EtO	  325.30	2.6900	0.5981	
23	BMIM	PF6	EtO	  334.80	2.4700	0.5921	
24	BMIM	PF6	Acet	  315.90	0.7070	0.6385	
25	BMIM	PF6	Acet	  325.30	0.7090	0.6381	
26	BMIM	PF6	Acet	  334.80	0.6990	0.6377	
27	BMIM	PF6	MeEO	  334.80	0.8380	0.7435	
28	BMIM	PF6	MeEO	  344.30	0.8280	0.7380	
29	BMIM	PF6	MeEO	  353.90	0.8930	0.7326	
30	BMIM	PF6	MeEO	  363.40	0.8720	0.7275	
31	BMIM	PF6	PrO	  293.15	5.5300	0.9579	
32	BMIM	PF6	PrO	  313.15	4.1400	0.9090	
33	BMIM	PF6	PrO	  333.15	3.1800	0.8694	
34	BMIM	PF6	PrO	  353.15	2.4500	0.8368	
35	BMIM	PF6	PrO	  313.15	4.3500	0.9090	
36	BMIM	PF6	PrO	  323.15	4.0700	0.8882	
37	BMIM	PF6	PrO	  333.15	3.7700	0.8694	
38	BMIM	PF6	PrO	  315.90	4.0100	0.9031	
39	BMIM	PF6	PrO	  325.30	3.4600	0.8840	
40	BMIM	PF6	PrO	  334.80	3.1800	0.8664	
41	BMIM	PF6	2PO	  293.15	4.8000	0.9135	
42	BMIM	PF6	2PO	  313.15	3.6400	0.8722	
43	BMIM	PF6	2PO	  333.15	2.8300	0.8384	
44	BMIM	PF6	2PO	  353.15	2.2500	0.8106	
45	BMIM	PF6	2PO	  313.15	3.5700	0.8722	
46	BMIM	PF6	2PO	  323.15	3.5400	0.8545	
47	BMIM	PF6	2PO	  333.15	3.4300	0.8384	
48	BMIM	PF6	2PO	  315.90	3.6500	0.8672	
49	BMIM	PF6	2PO	  325.30	3.1600	0.8509	
50	BMIM	PF6	2PO	  334.80	2.8500	0.8359	
51	BMIM	PF6	DMEO	  334.80	1.0900	1.0997	
52	BMIM	PF6	DMEO	  344.30	1.1200	1.0807	
53	BMIM	PF6	DMEO	  353.90	1.2100	1.0626	
54	BMIM	PF6	DMEO	  363.40	1.1900	1.0459	
55	BMIM	PF6	BuCO	  313.15	1.0200	0.9470	
56	BMIM	PF6	BuCO	  323.15	1.1200	0.9360	
57	BMIM	PF6	BuCO	  333.15	1.2300	0.9257	
58	BMIM	PF6	BuCO	  315.90	0.9900	0.9439	
59	BMIM	PF6	BuCO	  325.30	0.9900	0.9338	
60	BMIM	PF6	BuCO	  334.80	0.9800	0.9240	
61	BMIM	PF6	EtEO	  334.80	1.1300	1.1830	
62	BMIM	PF6	EtEO	  344.30	1.1300	1.1593	
63	BMIM	PF6	EtEO	  353.90	1.1900	1.1370	
64	BMIM	PF6	EtEO	  363.40	1.1600	1.1163	
65	BMIM	PF6	iBO	  293.15	8.3900	1.3298	
66	BMIM	PF6	iBO	  313.15	5.7400	1.2416	
67	BMIM	PF6	iBO	  333.15	4.2300	1.1700	
68	BMIM	PF6	iBO	  353.15	3.2300	1.1113	
69	BMIM	PF6	iBO	  313.15	5.3100	1.2416	
70	BMIM	PF6	iBO	  323.15	5.0500	1.2040	
71	BMIM	PF6	iBO	  333.15	4.8300	1.1700	
72	BMIM	PF6	iBO	  315.90	5.0300	1.2309	
73	BMIM	PF6	iBO	  325.30	4.3800	1.1964	
74	BMIM	PF6	iBO	  334.80	3.8400	1.1647	
75	BMIM	PF6	tertBO	  293.15	4.8300	1.3482	
76	BMIM	PF6	tertBO	  313.15	3.6800	1.2586	
77	BMIM	PF6	tertBO	  333.15	2.9700	1.1857	
78	BMIM	PF6	tertBO	  353.15	2.4500	1.1258	
79	BMIM	PF6	BuO	  293.15	8.1700	1.3221	
80	BMIM	PF6	BuO	  313.15	5.9000	1.2351	
81	BMIM	PF6	BuO	  333.15	4.4900	1.1645	
82	BMIM	PF6	BuO	  353.15	3.4300	1.1067	
83	BMIM	PF6	BuO	  313.15	5.9100	1.2351	
84	BMIM	PF6	BuO	  323.15	5.4800	1.1980	
85	BMIM	PF6	BuO	  333.15	5.1400	1.1645	
86	BMIM	PF6	BuO	  315.90	5.5900	1.2245	
87	BMIM	PF6	BuO	  325.30	4.7700	1.1905	
88	BMIM	PF6	BuO	  334.80	4.2400	1.1593	
89	BMIM	PF6	2Buto	  293.15	6.4700	1.4406	
90	BMIM	PF6	2Buto	  313.15	4.8000	1.3353	
91	BMIM	PF6	2Buto	  333.15	3.6900	1.2504	
92	BMIM	PF6	2Buto	  353.15	2.8700	1.1810	
93	BMIM	PF6	2Buto	  315.90	4.2900	1.3226	
94	BMIM	PF6	2Buto	  325.30	3.7800	1.2816	
95	BMIM	PF6	2Buto	  334.80	3.3700	1.2441	
96	BMIM	PF6	Ben	  313.15	1.8200	1.5388	
97	BMIM	PF6	Ben	  323.15	1.9600	1.4973	
98	BMIM	PF6	Ben	  333.15	2.1300	1.4584	
99	BMIM	PF6	Pyr	  313.15	0.7600	0.9452	
100	BMIM	PF6	Pyr	  323.15	0.8100	0.9345	
101	BMIM	PF6	Pyr	  333.15	0.7400	0.9242	
102	BMIM	PF6	C6ene	  313.15	6.0000	2.6814	
103	BMIM	PF6	C6ene	  323.15	5.5200	2.5563	
104	BMIM	PF6	C6ene	  333.15	6.1100	2.4428	
105	BMIM	PF6	Thiofen	  313.15	1.3700	1.2768	
106	BMIM	PF6	Thiofen	  323.15	1.4700	1.2510	
107	BMIM	PF6	Thiofen	  333.15	1.6000	1.2265	
108	BMIM	PF6	CyC6	  313.15	23.3000	9.3166	
109	BMIM	PF6	CyC6	  323.15	21.6000	8.3914	
110	BMIM	PF6	CyC6	  333.15	19.9800	7.6014	
111	BMIM	PF6	C6ene	  313.15	19.0200	2.6814	
112	BMIM	PF6	C6ene	  323.15	17.5500	2.5563	
113	BMIM	PF6	DCM	  313.15	0.7900	0.7707	
114	BMIM	PF6	DCM	  323.15	0.9000	0.7686	
115	BMIM	PF6	DCM	  333.15	1.0400	0.7661	
116	BMIM	PF6	PeCO	  313.15	1.3900	1.5657	
117	BMIM	PF6	PeCO	  323.15	1.7100	1.5214	
118	BMIM	PF6	PeCO	  333.15	1.8700	1.4804	
119	BMIM	PF6	Dioxan	  313.15	0.9700	0.7509	
120	BMIM	PF6	Dioxan	  323.15	1.0100	0.7509	
121	BMIM	PF6	Dioxan	  333.15	1.1400	0.7507	
122	BMIM	PF6	iC5O	  315.90	7.7100	1.7470	
123	BMIM	PF6	iC5O	  325.30	6.3400	1.6784	
124	BMIM	PF6	iC5O	  334.80	5.2000	1.6161	
125	BMIM	PF6	C53O	  315.90	4.7000	1.9967	
126	BMIM	PF6	C53O	  325.30	4.1400	1.9133	
127	BMIM	PF6	C53O	  334.80	3.7800	1.8373	
128	BMIM	PF6	C5O	  315.90	9.7000	1.8780	
129	BMIM	PF6	C5O	  325.30	8.0100	1.7986	
130	BMIM	PF6	C5O	  334.80	6.4700	1.7267	
131	BMIM	PF6	C52O	  315.90	5.6600	1.9925	
132	BMIM	PF6	C52O	  325.30	4.9900	1.9086	
133	BMIM	PF6	C52O	  334.80	4.3800	1.8322	
134	BMIM	PF6	NO2Pr	  313.15	1.0500	0.9595	
135	BMIM	PF6	NO2Pr	  323.15	1.1300	0.9494	
136	BMIM	PF6	NO2Pr	  333.15	1.2300	0.9399	
137	BMIM	PF6	Meben	  313.15	2.9700	2.4932	
138	BMIM	PF6	Meben	  323.15	3.0900	2.3880	
139	BMIM	PF6	Meben	  333.15	3.3700	2.2917	
140	BMIM	PF6	Meben	  315.90	1.7100	2.4633	
141	BMIM	PF6	Meben	  325.30	1.5900	2.3666	
142	BMIM	PF6	Meben	  334.80	1.7100	2.2766	
143	BMIM	PF6	C7ene	  313.15	8.6200	4.1858	
144	BMIM	PF6	C7ene	  323.15	9.4900	3.9311	
145	BMIM	PF6	C7ene	  333.15	9.4100	3.7033	
146	BMIM	PF6	24C5DCO	  315.90	1.1500	0.7997	
147	BMIM	PF6	24C5DCO	  325.30	1.0700	0.8010	
148	BMIM	PF6	24C5DCO	  334.80	1.0300	0.8020	
149	BMIM	PF6	BEO	  334.80	1.9400	2.6208	
150	BMIM	PF6	BEO	  344.30	2.1900	2.5088	
151	BMIM	PF6	BEO	  353.90	2.2000	2.4056	
152	BMIM	PF6	BEO	  363.40	2.1400	2.3124	
153	BMIM	PF6	N222	  313.15	20.2100	9.0532	
154	BMIM	PF6	N222	  323.15	19.3500	8.2095	
155	BMIM	PF6	N222	  333.15	13.9600	7.4834	
156	BMIM	PF6	Oxylene	  313.15	3.9100	3.6402	
157	BMIM	PF6	Oxylene	  323.15	4.2000	3.4439	
158	BMIM	PF6	Oxylene	  333.15	4.5800	3.2666	
159	BMIM	PF6	Oxylene	  315.90	2.3700	3.5842	
160	BMIM	PF6	Oxylene	  325.30	2.2100	3.4042	
161	BMIM	PF6	Oxylene	  334.80	2.2000	3.2391	
162	BMIM	PF6	Mxylene	  313.15	4.8000	4.0039	
163	BMIM	PF6	Mxylene	  323.15	5.1700	3.7720	
164	BMIM	PF6	Mxylene	  333.15	5.5100	3.5637	
165	BMIM	PF6	Mxylene	  315.90	2.3800	3.9376	
166	BMIM	PF6	Mxylene	  325.30	2.4300	3.7253	
167	BMIM	PF6	Mxylene	  334.80	2.3600	3.5314	
168	BMIM	PF6	Pxylene	  313.15	4.5100	4.0222	
169	BMIM	PF6	Pxylene	  323.15	4.9600	3.7888	
170	BMIM	PF6	Pxylene	  333.15	5.2100	3.5792	
171	BMIM	PF6	Pxylene	  315.90	2.2700	3.9555	
172	BMIM	PF6	Pxylene	  325.30	2.2400	3.7419	
173	BMIM	PF6	Pxylene	  334.80	2.2800	3.5467	
174	BMIM	PF6	Etben	  313.15	4.8100	3.9260	
175	BMIM	PF6	Etben	  323.15	5.2600	3.7035	
176	BMIM	PF6	Etben	  333.15	5.7000	3.5032	
177	BMIM	PF6	TRCM	  313.15	1.3000	1.5577	
178	BMIM	PF6	TRCM	  323.15	1.4600	1.5181	
179	BMIM	PF6	TRCM	  333.15	1.6300	1.4801	
180	BMIM	PF6	CCl4	  313.15	5.5100	6.3961	
181	BMIM	PF6	CCl4	  323.15	5.4300	5.8702	
182	BMIM	PF6	CCl4	  333.15	5.8100	5.4111	
